Share,Column,Count,Sum,Mean,Median,Mode,Min,Q1,Q2,Q3,IQR,Max,Range,Variance (Population),Std Dev (Population),Variance (Sample),Std Dev (Sample),Skewness,Kurtosis
RELIANCE.NS,Adj Close,21,28852.39990234375,1373.923804873512,1384.800048828125,"[1304.5999755859375, 1304.699951171875, 1330.0, 1343.9000244140625, 1347.800048828125, 1348.0999755859375, 1349.0, 1350.5, 1369.199951171875, 1380.699951171875, 1384.800048828125, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625]",1304.5999755859375,1348.0999755859375,1384.800048828125,1407.800048828125,59.7000732421875,1414.4000244140625,109.800048828125,1184.8461709130647,34.42159454344125,1244.088479458718,35.27163845724661,-0.633965853736986,-0.7087224103802612
RELIANCE.NS,Close,21,28852.39990234375,1373.923804873512,1384.800048828125,"[1304.5999755859375, 1304.699951171875, 1330.0, 1343.9000244140625, 1347.800048828125, 1348.0999755859375, 1349.0, 1350.5, 1369.199951171875, 1380.699951171875, 1384.800048828125, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625]",1304.5999755859375,1348.0999755859375,1384.800048828125,1407.800048828125,59.7000732421875,1414.4000244140625,109.800048828125,1184.8461709130647,34.42159454344125,1244.088479458718,35.27163845724661,-0.633965853736986,-0.7087224103802612
RELIANCE.NS,High,21,29238.700073242188,1392.3190511067708,1404.699951171875,"[1308.300048828125, 1350.0, 1350.5999755859375, 1351.0, 1358.199951171875, 1359.0, 1365.0, 1384.4000244140625, 1397.300048828125, 1400.800048828125, 1404.699951171875, 1405.9000244140625, 1410.9000244140625, 1412.9000244140625, 1415.5999755859375, 1415.699951171875, 1422.4000244140625, 1430.0, 1430.5, 1431.5, 1434.0]",1308.300048828125,1359.0,1404.699951171875,1415.699951171875,56.699951171875,1434.0,125.699951171875,1177.5271375212403,34.3151152922621,1236.4034943973024,35.16252969280371,-0.7563735803252809,-0.2647161603606363
RELIANCE.NS,Low,21,28605.7998046875,1362.180943080357,1376.0999755859375,"[1290.0, 1291.0, 1326.199951171875, 1326.300048828125, 1328.0, 1331.5, 1334.0999755859375, 1345.0, 1362.9000244140625, 1363.5, 1376.0999755859375, 1378.4000244140625, 1381.0999755859375, 1383.5999755859375, 1388.199951171875, 1391.0, 1396.0999755859375, 1397.199951171875, 1400.5999755859375, 1406.5999755859375, 1408.4000244140625]",1290.0,1331.5,1376.0999755859375,1391.0,59.5,1408.4000244140625,118.4000244140625,1276.0791683170667,35.722250325491345,1339.8831267329201,36.604414033459406,-0.6032339574050252,-0.718424220718596
RELIANCE.NS,Open,21,28996.099853515625,1380.7666596912202,1388.0,[1420.0],1295.0,1357.0,1388.0,1400.0,43.0,1430.5999755859375,135.5999755859375,1141.930667395562,33.79246465405508,1199.0272007653402,34.62697215705324,-0.7262226077411488,0.27207214131433943
RELIANCE.NS,Volume,21,421931326.0,20091967.904761903,20725390.0,"[9559327.0, 12715205.0, 14404619.0, 16498373.0, 17265090.0, 18071259.0, 18620893.0, 18979554.0, 19007744.0, 19041331.0, 20725390.0, 20939959.0, 21280051.0, 21817543.0, 21848087.0, 22837802.0, 22994918.0, 23266517.0, 24393861.0, 28388922.0, 29274881.0]",9559327.0,18071259.0,20725390.0,22837802.0,4766543.0,29274881.0,19715554.0,20698950187992.277,4549609.894045013,21733897697391.89,4661962.858860192,-0.17600553022985974,0.6398641646921122
RELIANCE.NS,Daily Return %,20,-4.010929250866801,-0.20054646254334005,0.04220655699590514,"[-4.5998160868305105, -3.3913401575805247, -1.6547068504931262, -1.3657575108639186, -1.3206742976157093, -1.3202794585166266, -0.8260307716804527, -0.466627225114169, -0.3115459719557956, -0.007662726272639198, 0.09207584026444948, 0.14386419725551658, 0.179198626890531, 0.2841312587912981, 0.7512879352761903, 1.0429510337738757, 1.4285714285714235, 1.8825750649750228, 2.1374909403697906, 3.3113654798885728]",-4.5998160868305105,-1.3203781682913973,0.04220655699590514,0.8242037099006116,2.144581878192009,3.3113654798885728,7.911181566719083,3.1928042348716543,1.7868419725514773,3.360846563022794,1.833261182434951,-0.501846909951531,0.9313824318047059
RELIANCE.NS,High-Low Gap,21,632.9002685546875,30.13810802641369,24.5999755859375,[30.9000244140625],15.7000732421875,21.5,24.5999755859375,33.800048828125,12.300048828125,69.0,53.2999267578125,193.52103731671428,13.911183893425976,203.19708918254997,14.254721645214612,1.532814095381188,2.033888541702549
RELIANCE.NS,Open-Close Change,21,-143.699951171875,-6.842854817708333,-3.199951171875,"[-54.300048828125, -52.9000244140625, -34.7000732421875, -21.7999267578125, -16.0, -15.0, -8.199951171875, -6.9000244140625, -6.5, -4.5, -3.199951171875, -1.4000244140625, -1.199951171875, 2.199951171875, 7.800048828125, 8.9000244140625, 9.5999755859375, 10.9000244140625, 12.0, 15.0999755859375, 16.4000244140625]",-54.300048828125,-15.0,-3.199951171875,8.9000244140625,23.9000244140625,16.4000244140625,70.7000732421875,386.27343597345873,19.653840234759688,405.5871077721317,20.139193324761834,-1.2369821801787384,1.0792366161472544
TCS.NS,Adj Close,21,51269.2998046875,2441.3952287946427,2410.5,"[2356.0, 2358.89990234375, 2377.39990234375, 2383.800048828125, 2389.800048828125, 2390.60009765625, 2391.699951171875, 2398.800048828125, 2408.199951171875, 2409.199951171875, 2410.5, 2440.800048828125, 2442.39990234375, 2450.699951171875, 2464.89990234375, 2473.89990234375, 2513.10009765625, 2520.60009765625, 2539.800048828125, 2559.199951171875, 2589.0]",2356.0,2390.60009765625,2410.5,2473.89990234375,83.2998046875,2589.0,233.0,4409.056195618344,66.40072436064492,4629.509005399261,68.04049533475826,0.7916334385560132,-0.4144096286696737
