Date,Adj Close,Close,High,Low,Open,Volume,Daily Return %,High-Low Gap,Open-Close Change
2026-03-02,138825.0,138825.0,139600.0,136100.0,136480.0,6735,,3500.0,2345.0
2026-03-04,135050.0,135050.0,138490.0,134395.0,137480.0,9847,-2.7192508553934847,4095.0,-2430.0
2026-03-05,140215.0,140215.0,140500.0,136015.0,136015.0,12556,3.8245094409477876,4485.0,4200.0
2026-03-06,138780.0,138780.0,142500.0,138250.0,140010.0,9417,-1.0234283065292615,4250.0,-1230.0
2026-03-09,134925.0,134925.0,137380.0,134505.0,135910.0,6888,-2.777777777777779,2875.0,-985.0
2026-03-10,137285.0,137285.0,138445.0,136500.0,136500.0,8283,1.749119881415595,1945.0,785.0
2026-03-11,136255.0,136255.0,138000.0,135800.0,138000.0,5145,-0.7502640492406343,2200.0,-1745.0
2026-03-12,138005.0,138005.0,138250.0,134435.0,135795.0,5563,1.2843565373747756,3815.0,2210.0
2026-03-13,134920.0,134920.0,137930.0,134500.0,136500.0,4972,-2.2354262526720015,3430.0,-1580.0
2026-03-16,132345.0,132345.0,135455.0,131100.0,135455.0,7644,-1.9085383931218503,4355.0,-3110.0
2026-03-17,132750.0,132750.0,134280.0,132480.0,133695.0,5574,0.3060183611016676,1800.0,-945.0
2026-03-18,133890.0,133890.0,135000.0,133155.0,133580.0,5578,0.8587570621468865,1845.0,310.0
2026-03-19,130545.0,130545.0,132795.0,130380.0,132795.0,6110,-2.4983195160206084,2415.0,-2250.0
2026-03-20,127535.0,127535.0,132250.0,127015.0,131940.0,12604,-2.3057183346738674,5235.0,-4405.0
2026-03-23,124975.0,124975.0,127515.0,123455.0,127515.0,7960,-2.0072921158897583,4060.0,-2540.0
2026-03-24,127645.0,127645.0,128860.0,125500.0,127900.0,7980,2.1364272854570876,3360.0,-255.0
2026-03-25,129970.0,129970.0,130900.0,128465.0,128785.0,7281,1.82145794978259,2435.0,1185.0
2026-03-27,129575.0,129575.0,130490.0,127525.0,129400.0,9722,-0.3039162883742397,2965.0,175.0
2026-03-30,128495.0,128495.0,129955.0,124725.0,128100.0,18685,-0.833494115377198,5230.0,395.0
2026-04-01,129095.0,129095.0,133000.0,128575.0,133000.0,8541,0.4669442390754508,4425.0,-3905.0
2026-04-02,126390.0,126390.0,128500.0,125600.0,128500.0,8458,-2.095356133080295,2900.0,-2110.0
